Gene,GFPneg_Rep1,GFPpos_Rep1,GFPneg_Rep2,GFPpos_Rep2
NDUFAB1,448,1558,620,1408
NDUFAF1,241,902,229,1303
NDUFAF2,18,168,57,379
NDUFAF3,233,1081,387,1825
NDUFAF4,60,189,65,210
NDUFAF5,41,197,97,418
NDUFAF6,22,72,28,27
NDUFAF7,69,379,126,475
NDUFAF8,19,56,60,22
NDUFB1,119,419,189,697
NDUFB10,481,1674,736,946
NDUFB11,265,1207,343,2599
NDUFB2,476,1736,628,2805
NDUFB3,373,1178,441,2481
NDUFB4,674,2845,1141,5472
NDUFB6,368,1351,481,3218
NDUFB7,360,1305,620,2677
NDUFB8,718,2664,1333,5330
NDUFB9,776,3308,760,5092
NDUFC2,520,2143,617,4492
NDUFS1,481,1629,532,2045
NDUFS2,814,3206,1268,4033
NDUFS3,340,1212,625,925
NDUFS4,453,2736,438,5403
NDUFS5,303,1804,664,3786
NDUFS6,139,699,154,298
NDUFS8,1063,2169,1069,1052
NDUFV1,469,1942,752,3275
NDUFV2,442,1585,652,3012
NEB,4,5,21,6
NEBL,46,153,42,58
NECAB1,4,66,7,120
NECAB3,50,278,2,162
NECAP1,603,1301,523,1783
NECAP2,715,1591,1195,2591
NECTIN1,32,80,57,34
NECTIN3,101,463,75,522
NECTIN4,9,3,32,2
NEDD1,201,709,292,1189
NEDD4,150,525,134,547
NEDD4L,88,382,166,267
NEDD8,317,1159,391,2370
NEDD9,1611,18021,573,6490
NEFH,7,0,4,0
NEFL,11,0,24,2
NEGR1,33,95,11,44
NEIL1,127,322,69,558
NEIL2,32,241,52,85
NEIL3,29,105,95,263
NEK1,124,760,161,1012
NEK10,13,53,12,61
NEK11,6,15,25,64
NEK2,66,209,104,519
NEK3,26,68,36,172
NEK4,91,524,102,458
NEK5,7,40,26,29
NEK6,602,2535,622,1778
NEK7,156,926,154,1134
NEK8,94,594,133,337
NEK9,233,1419,294,1457
NELFA,29,193,61,116
NELFCD,619,2839,1079,1771
NELFE,213,1336,333,1696
NELL1,19,16,4,14
NELL2,71,208,9,72
NEMF,483,1646,572,2857
NEMP1,102,186,193,303
NEMP2,86,167,134,135
NENF,30,293,16,433
NEO1,432,2704,135,1653
NEPRO,76,248,133,358
NES,59,1340,35,689
NET1,593,6088,341,4403
NETO1,4,0,29,0
NETO2,3,0,22,5
NEU1,346,905,353,1180
NEU2,0,0,5,0
NEU3,46,12,139,26
NEU4,1,0,5,0
NEURL1,109,643,70,1272
NEURL1B,48,125,55,207
NEURL2,33,98,79,81
NEURL3,3,0,9,0
NEURL4,33,233,59,139
NEUROD1,2,0,14,0
NEUROD2,0,0,5,0
NEUROD6,1,0,6,3
NEUROG1,0,0,2,0
NEUROG2,0,0,8,0
NEUROG3,1,0,14,0
NEXMIF,9,0,38,0
NEXN,537,1678,39,1629
NF1,141,1150,143,1209
NF2,278,2285,358,1192
NFAM1,462,139,418,198
NFASC,14,10,51,17
NFAT5,541,2790,476,1571
NFATC1,310,328,679,183
NFATC2,131,191,250,78
NFATC2IP,61,167,70,88
NFATC3,783,2082,1373,2002
NFATC4,37,765,46,289
NFE2L1,325,1605,370,1382
NFE2L2,1671,6923,1420,11721
NFE2L3,99,88,103,134
NFIA,449,4986,184,5033
NFIB,450,3365,180,4006
NFIC,1164,11818,553,15401
NFIL3,2218,1311,1323,590
NFILZ,0,1,34,0
NFIX,276,2425,149,2868
NFKB1,187,600,280,445
NFKB2,571,2076,785,905
NFKBIA,40586,14041,25636,6485
NFKBID,1079,866,1520,477
NFKBIE,1838,1053,1734,529
NFKBIL1,116,548,105,324
NFKBIZ,3815,1879,2333,683
NFRKB,139,890,308,668
NFS1,243,560,382,624
NFU1,161,535,261,1355
NFX1,310,1191,417,1268
NFXL1,114,363,139,217
NFYA,417,961,406,625
NFYB,173,763,238,1276
NFYC,517,2062,599,1436
NGB,3,3,3,3
NGEF,25,0,31,1
NGF,12,39,42,35
NGFR,6,7,0,2
NGLY1,368,1418,425,926
NHEJ1,87,356,140,623
NHLH1,2,0,3,0
NHLH2,3,0,1,0
NHLRC1,11,43,12,15
NHLRC2,292,798,226,734
NHLRC3,122,553,166,654
NHS,35,80,128,69
NHSL1,19,25,26,28
NHSL2,43,63,93,62
NIBAN1,1924,4082,1033,3252
NIBAN2,85,622,82,316
NICN1,75,565,68,582
NID1,1638,27638,554,19084
NID2,541,3073,127,1760
NIF3L1,183,680,257,1268
NIFK,368,1140,568,2331
NIM1K,111,398,10,198
NIN,924,3480,1374,2700
NINJ1,229,688,262,537
NINL,67,104,44,51
NIP7,162,396,199,747
NIPA1,67,273,90,166
NIPA2,293,1077,354,1320
NIPAL1,95,26,301,35
NIPAL2,112,1454,98,990
NIPAL3,101,401,130,373
NIPAL4,23,55,25,28
NIPBL,619,2144,851,2061
NIPSNAP1,83,402,132,475
NIPSNAP2,189,942,256,600
NIPSNAP3A,304,2312,506,4926
NISCH,802,5745,673,3009
NIT1,121,423,142,704
NIT2,240,1169,221,2111
NKAIN1,0,0,6,2
NKAIN2,5,0,18,0
NKAIN3,240,1086,86,564
NKAIN4,6,0,23,34
NKAP,129,750,198,1724
NKAPD1,198,766,197,972
NKAPL,13,30,23,44
NKD1,208,1842,47,1672
NKG7,960,419,1640,932
NKIRAS1,25,231,54,609
NKIRAS2,125,933,220,892
NKPD1,2,0,9,0
NKRF,38,140,92,80
NKTR,598,3563,774,3722
NKX1-1,0,0,0,0
NKX1-2,0,0,0,0
NKX2-1,34,86,14,1
NKX2-2,0,0,5,0
NKX2-3,1,0,7,0
NKX2-4,1,0,0,0
NKX2-5,3,0,15,0
NKX2-6,0,0,0,0
NKX2-8,2,0,8,0
NKX3-1,28,8,36,3
NKX3-2,3,0,2,0
NKX6-1,13,194,28,181
NKX6-2,0,0,0,0
NKX6-3,2,0,1,0
NLE1,109,392,143,216
NLGN1,18,140,15,150
NLGN3,68,570,99,482
NLK,38,102,71,109
NLN,31,226,94,171
NLRC3,155,17,341,66
NLRC5,1433,1153,2188,159
NLRP12,27,6,48,10
NLRP13,7,0,5,0
NLRP3,712,230,790,119
NLRP4,2,0,4,0
NLRP5,7,0,26,6
NLRP6,8,9,19,9
NLRP8,3,0,5,0
NLRP9,1,0,3,0
NLRX1,170,484,205,367
NMBR,2,0,33,0
NMD3,311,1163,386,1434
NME1,295,890,564,2474
NME2,1684,6248,3021,11498
NME3,80,285,161,457
NME4,7,144,25,169
NME5,30,27,75,112
NME6,230,1035,344,1677
NME7,69,283,110,1102
NME8,0,0,13,0
NME9,8,19,3,20
NMI,442,616,277,522
NMNAT1,54,135,130,409
NMNAT2,38,131,40,136
NMNAT3,30,32,78,12
NMRAL1,170,659,279,795
NMRK1,13,44,20,55
NMRK2,1,38,31,5
NMT1,471,1979,618,1701
NMT2,19,121,14,68
NMU,0,0,0,0
NMUR1,29,79,88,63
NMUR2,1,4,25,0
NNMT,2,0,8,0
NNT,603,1257,945,921
NOA1,125,442,125,229
NOB1,192,785,317,1302
NOBOX,0,0,6,0
NOC2L,392,1144,472,557
NOC3L,102,612,163,660
NOC4L,219,937,359,392
NOCT,247,264,268,282
NOD1,67,148,83,48
NOD2,368,138,563,41
NODAL,2,9,7,5
NOG,2,3,3,0
NOL10,87,441,180,583
NOL11,434,1138,581,1418
NOL3,163,725,127,830
NOL4,7,0,22,0
NOL4L,209,449,470,481
NOL6,254,629,395,349
NOL7,491,2055,494,1807
NOL8,86,359,112,566
NOL9,205,1345,298,777
NOLC1,438,1468,706,1532
NONO,1589,6721,2498,8561
NOP10,888,3451,1392,7480
NOP14,125,560,154,232
NOP2,298,1341,339,1266
NOP53,531,2632,727,1019
NOP56,1249,3933,1729,5493
NOP58,728,2358,1018,4120
NOP9,153,562,182,287
NOS1,9,228,20,340
NOS2,87,31,88,60
NOS3,125,37,58,69
NOSIP,387,1514,572,688
NOSTRIN,49,13,9,33
NOTCH2,2713,8528,3076,5142
NOTCH3,315,2101,155,1120
NOTCH4,239,192,203,91
NOTUM,15,73,5,29
NOVA1,19,973,29,841
NOVA2,9,0,4,0
NOX1,4,3,9,0
NOX3,0,0,0,0
NOX4,58,934,60,642
NOX5,11,0,32,0
NOXO1,10,0,17,7
NOXRED1,23,105,23,137
NPAS1,2,2,11,0
NPAS2,22,97,26,75
NPAS3,1,3,2,8
NPAS4,2,0,17,0
NPAT,231,952,209,655
NPBWR2,1,0,7,4
NPC1,244,798,340,295
NPC1L1,8,0,47,0
NPC2,559,2678,603,5823
NPEPL1,106,310,143,223
NPEPPS,695,3769,439,2569
NPFFR1,0,0,14,0
NPFFR2,10,0,29,45
NPG1,53,21,179,45
NPHP1,74,432,40,847
NPHP4,18,238,33,58
NPHS1,0,49,24,52
NPHS2,0,10,7,11
NPL,224,278,238,816
NPLOC4,122,605,223,306
NPM1,2060,6566,4390,12872
NPM3,86,58,261,95
NPNT,1759,3723,93,1380
NPPB,0,0,3,0
NPPC,1,30,13,9
NPR1,172,238,73,105
NPR2,136,989,71,1054
NPR3,129,30,76,47
NPRL3,134,800,228,740
NPS,0,0,0,0
NPSR1,0,15,3,0
NPTN,508,2970,470,4254
NPTX1,50,133,29,63
NPTX2,5,0,14,0
NPTXR,4,0,23,8
NPVF,0,0,5,0
NPW,1,0,2,3
NPY,27,0,58,1
NPY1R,88,503,74,925
NPY2R,8,0,47,6
NPY5R,0,0,13,7
NQO1,44,399,42,708
NQO2,195,1734,249,3053
NR0B1,1,0,17,0
NR0B2,1,0,1,0
NR1D1,16,45,43,79
NR1H2,302,832,556,451
NR1H3,262,1117,210,1421
NR1H4,5,0,25,0
NR1I2,10,13,19,8
NR1I3,47,114,69,76
NR2C1,85,409,121,351
NR2C2,156,662,297,600
NR2C2AP,69,373,69,858
NR2E1,46,2,55,28
NR2E3,0,0,1,0
NR2F1,267,2407,64,1646
NR2F2,326,2331,112,4044
NR2F6,23,164,37,176
NR3C1,634,3234,625,4136
NR3C2,33,206,60,142
NR4A1,1712,1014,3551,453
NR4A2,511,434,1310,237
NR4A3,281,330,611,76
